지점,지점명,시간,온도,습도,기압
257,양산시,2012/08/04 12:00,33.1,52,1009.9
257,양산시,2012/08/04 13:00,32.9,51,1009.8
257,양산시,2012/08/04 14:00,33,48,1009.4
257,양산시,2012/08/04 15:00,33.5,47,1009
257,양산시,2012/08/04 16:00,33.3,45,1009
257,양산시,2012/08/04 17:00,32.8,48,1008.9
257,양산시,2012/08/04 18:00,31.7,52,1008.7
257,양산시,2012/08/04 19:00,29.8,59,1008.8
257,양산시,2012/08/04 20:00,28.9,62,1009.1
257,양산시,2012/08/04 21:00,28.2,66,1009.4
257,양산시,2012/08/04 22:00,27.8,67,1009.5
257,양산시,2012/08/04 23:00,27.1,69,1009.7
257,양산시,2012/08/05 0:00,27,68,1009.5
257,양산시,2012/08/05 1:00,26.9,68,1009.2
257,양산시,2012/08/05 2:00,27.3,65,1008.7
257,양산시,2012/08/05 3:00,27.3,64,1008.4
257,양산시,2012/08/05 4:00,26.7,67,1008.2
257,양산시,2012/08/05 5:00,26.6,68,1007.9
257,양산시,2012/08/05 6:00,26.7,70,1007.9
257,양산시,2012/08/05 7:00,27.1,70,1008
257,양산시,2012/08/05 8:00,28.5,67,1007.8
257,양산시,2012/08/05 9:00,30,62,1007.4
257,양산시,2012/08/05 10:00,32.1,55,1007.3
257,양산시,2012/08/05 11:00,32.9,50,1006.9
257,양산시,2012/08/05 12:00,34.2,46,1006.7
257,양산시,2012/08/05 13:00,34.9,42,1006.3
257,양산시,2012/08/05 14:00,34.9,41,1006
257,양산시,2012/08/05 15:00,35.1,44,1005.5
257,양산시,2012/08/05 16:00,34.5,43,1004.8
257,양산시,2012/08/05 17:00,33.1,46,1004.5
257,양산시,2012/08/05 18:00,33.2,47,1004.3
257,양산시,2012/08/05 19:00,31.8,52,1005
257,양산시,2012/08/05 20:00,30.5,57,1005.3
257,양산시,2012/08/05 21:00,30.3,50,1005.8
257,양산시,2012/08/05 22:00,29.3,54,1006.4
257,양산시,2012/08/05 23:00,28.4,64,1006.4
257,양산시,2012/08/06 0:00,28,66,1006.1
257,양산시,2012/08/06 1:00,27.7,65,1005.9
257,양산시,2012/08/06 2:00,27.7,67,1005.7
257,양산시,2012/08/06 3:00,27.7,68,1005.3
257,양산시,2012/08/06 4:00,27.3,69,1005.3
257,양산시,2012/08/06 5:00,27.3,70,1005.4
257,양산시,2012/08/06 6:00,26.8,74,1005.8
257,양산시,2012/08/06 7:00,27.7,71,1005.9
257,양산시,2012/08/06 8:00,28.5,66,1006.2
257,양산시,2012/08/06 9:00,31,58,1006.3
257,양산시,2012/08/06 10:00,30.8,58,1006.3
257,양산시,2012/08/06 11:00,31.1,57,1006.2
257,양산시,2012/08/06 12:00,31.1,58,1006.2
257,양산시,2012/08/06 13:00,31.5,57,1006.1
257,양산시,2012/08/06 14:00,32.2,55,1005.7
257,양산시,2012/08/06 15:00,31.2,57,1005.6
257,양산시,2012/08/06 16:00,30.5,60,1005.5
257,양산시,2012/08/06 17:00,30.6,58,1005.4
257,양산시,2012/08/06 18:00,30,59,1005.4
257,양산시,2012/08/06 19:00,29.3,56,1005.9
257,양산시,2012/08/06 20:00,28.6,58,1006.3
257,양산시,2012/08/06 21:00,28.1,59,1007
257,양산시,2012/08/06 22:00,27.4,65,1007.2
257,양산시,2012/08/06 23:00,26.9,67,1007.4
257,양산시,2012/08/07 0:00,27.1,68,1007.6
257,양산시,2012/08/07 1:00,26.9,71,1007.3
257,양산시,2012/08/07 2:00,26.8,71,1007.2
257,양산시,2012/08/07 3:00,26.7,72,1007.2
257,양산시,2012/08/07 4:00,26.1,73,1006.8
257,양산시,2012/08/07 5:00,26.2,72,1007.4
257,양산시,2012/08/07 6:00,26.3,72,1007.7
257,양산시,2012/08/07 7:00,26.6,71,1007.8
257,양산시,2012/08/07 8:00,27.4,68,1008.2
257,양산시,2012/08/07 9:00,29.4,60,1008.1
257,양산시,2012/08/07 10:00,30.5,56,1008.4
257,양산시,2012/08/07 11:00,31.7,49,1008.2
257,양산시,2012/08/07 12:00,31.8,44,1007.8
257,양산시,2012/08/07 13:00,32.5,42,1007.6
257,양산시,2012/08/07 14:00,32.8,39,1007.7
257,양산시,2012/08/07 15:00,32.6,40,1007.4
257,양산시,2012/08/07 16:00,31.6,42,1007.1
257,양산시,2012/08/07 17:00,30.9,47,1006.9
257,양산시,2012/08/07 18:00,29.5,49,1007.1
257,양산시,2012/08/07 19:00,28.6,48,1007.8
257,양산시,2012/08/07 20:00,27.6,54,1007.9
257,양산시,2012/08/07 21:00,27,60,1008.4
257,양산시,2012/08/07 22:00,26.8,63,1008.1
257,양산시,2012/08/07 23:00,26.7,65,1008.3
257,양산시,2012/08/08 0:00,26.7,64,1008.3
257,양산시,2012/08/08 1:00,26,68,1008
257,양산시,2012/08/08 2:00,25.6,70,1007.8
257,양산시,2012/08/08 3:00,25.3,70,1007.7
257,양산시,2012/08/08 4:00,25.3,69,1007.3
257,양산시,2012/08/08 5:00,25,70,1007.6
257,양산시,2012/08/08 6:00,25.1,69,1007.6
257,양산시,2012/08/08 7:00,25.9,66,1008.1
257,양산시,2012/08/08 8:00,27.1,62,1008.4
257,양산시,2012/08/08 9:00,28.2,60,1008.3
257,양산시,2012/08/08 10:00,29.5,55,1008.3
257,양산시,2012/08/08 11:00,30.6,51,1008.1
257,양산시,2012/08/08 12:00,30.2,51,1007.6
257,양산시,2012/08/08 13:00,30.8,48,1007.2
257,양산시,2012/08/08 14:00,31.1,47,1006.9
257,양산시,2012/08/08 15:00,30.6,48,1006.6
257,양산시,2012/08/08 16:00,30.2,51,1006.1
257,양산시,2012/08/08 17:00,29,55,1005.9
257,양산시,2012/08/08 18:00,28.8,55,1005.9
257,양산시,2012/08/08 19:00,27.5,59,1006.6
257,양산시,2012/08/08 20:00,26.9,61,1006.7
257,양산시,2012/08/08 21:00,26.4,67,1007
257,양산시,2012/08/08 22:00,26.1,68,1007
257,양산시,2012/08/08 23:00,25.6,71,1006.9
257,양산시,2012/08/09 0:00,24.9,73,1007
257,양산시,2012/08/09 1:00,24.7,74,1007.3
257,양산시,2012/08/09 2:00,24.4,76,1007.1
257,양산시,2012/08/09 3:00,24,77,1006.8
257,양산시,2012/08/09 4:00,23.6,78,1006.6
257,양산시,2012/08/09 5:00,23.3,77,1006.5
257,양산시,2012/08/09 6:00,23,79,1006.9
257,양산시,2012/08/09 7:00,24,75,1007
257,양산시,2012/08/09 8:00,25.4,68,1007.2
257,양산시,2012/08/09 9:00,27.7,60,1006.9
257,양산시,2012/08/09 10:00,28.2,59,1006.9
257,양산시,2012/08/09 11:00,31,51,1006.6
257,양산시,2012/08/09 12:00,31.9,45,1006
257,양산시,2012/08/09 13:00,32.8,43,1005.7
257,양산시,2012/08/09 14:00,31.8,49,1005.3
257,양산시,2012/08/09 15:00,31.6,50,1005.1
257,양산시,2012/08/09 16:00,32.1,50,1004.8
257,양산시,2012/08/09 17:00,32,50,1004.5
257,양산시,2012/08/09 18:00,30.3,57,1004.6
257,양산시,2012/08/09 19:00,28.9,62,1005.1
257,양산시,2012/08/09 20:00,27.7,67,1005.6
257,양산시,2012/08/09 21:00,27.2,68,1006.1
257,양산시,2012/08/09 22:00,26.9,69,1006.3
257,양산시,2012/08/09 23:00,26.6,70,1006.1
257,양산시,2012/08/10 0:00,26.7,68,1006
257,양산시,2012/08/10 1:00,26.5,65,1005.9
257,양산시,2012/08/10 2:00,26.1,65,1005.8
257,양산시,2012/08/10 3:00,25.9,69,1005.6
257,양산시,2012/08/10 4:00,25.6,60,1005.5
257,양산시,2012/08/10 5:00,25.3,68,1005.3
257,양산시,2012/08/10 6:00,25.5,68,1005.1
257,양산시,2012/08/10 7:00,26.2,70,1005.3
257,양산시,2012/08/10 8:00,27.4,68,1005.7
257,양산시,2012/08/10 9:00,29,61,1005.7
257,양산시,2012/08/10 10:00,31.1,56,1005.8
257,양산시,2012/08/10 11:00,31.7,54,1005.7
257,양산시,2012/08/10 12:00,33.1,50,1005.1
257,양산시,2012/08/10 13:00,32.1,52,1004.8
257,양산시,2012/08/10 14:00,31.8,51,1004.8
257,양산시,2012/08/10 15:00,31.4,50,1004.8
257,양산시,2012/08/10 16:00,29.5,56,1005.7
257,양산시,2012/08/10 17:00,30,44,1005.5
257,양산시,2012/08/10 18:00,28.6,60,1005.3
257,양산시,2012/08/10 19:00,26.9,76,1005.1
257,양산시,2012/08/10 20:00,26.1,76,1005.4
257,양산시,2012/08/10 21:00,26.3,75,1006
257,양산시,2012/08/10 22:00,26.3,73,1006.7
257,양산시,2012/08/10 23:00,26.4,74,1007.2
257,양산시,2012/08/11 0:00,25.8,77,1007.3
257,양산시,2012/08/11 1:00,25.8,76,1007.4
257,양산시,2012/08/11 2:00,25.3,80,1007.1
257,양산시,2012/08/11 3:00,25.3,79,1006.7
257,양산시,2012/08/11 4:00,25.3,79,1006.6
257,양산시,2012/08/11 5:00,25.1,79,1006.8
257,양산시,2012/08/11 6:00,24.9,78,1007.2
257,양산시,2012/08/11 7:00,25.6,77,1007.5
257,양산시,2012/08/11 8:00,27,71,1007.4
257,양산시,2012/08/11 9:00,29.6,60,1007.2
257,양산시,2012/08/11 10:00,30.9,50,1007.2
257,양산시,2012/08/11 11:00,32.9,42,1007.1
257,양산시,2012/08/11 12:00,33,37,1006.6
257,양산시,2012/08/11 13:00,32.4,45,1006.2
257,양산시,2012/08/11 14:00,31.8,48,1005.8
257,양산시,2012/08/11 15:00,33.6,43,1005.4
257,양산시,2012/08/11 16:00,33.2,43,1005.3
257,양산시,2012/08/11 17:00,32.9,45,1005.1
257,양산시,2012/08/11 18:00,31.8,43,1005.3
257,양산시,2012/08/11 19:00,30.1,53,1005.6
257,양산시,2012/08/11 20:00,28.5,60,1006.1
257,양산시,2012/08/11 21:00,27.9,68,1006.5
257,양산시,2012/08/11 22:00,27.3,68,1006.9
257,양산시,2012/08/11 23:00,27.1,69,1007.1
257,양산시,2012/08/12 0:00,26.7,71,1007
257,양산시,2012/08/12 1:00,26.3,72,1006.6
257,양산시,2012/08/12 2:00,25.8,74,1006.1
257,양산시,2012/08/12 3:00,25.5,73,1005.7
257,양산시,2012/08/12 4:00,25.4,74,1005.7
257,양산시,2012/08/12 5:00,25.3,74,1005.6
257,양산시,2012/08/12 6:00,25.2,73,1005.5
257,양산시,2012/08/12 7:00,25.7,75,1005.4
257,양산시,2012/08/12 8:00,27.5,67,1005.4
257,양산시,2012/08/12 9:00,29.4,65,1005.1
257,양산시,2012/08/12 10:00,29.9,64,1004.9
257,양산시,2012/08/12 11:00,31.5,58,1004.4
257,양산시,2012/08/12 12:00,31,60,1003.9
257,양산시,2012/08/12 13:00,29.6,74,1003.6
257,양산시,2012/08/12 14:00,27.6,82,1003.5
257,양산시,2012/08/12 15:00,30.3,66,1003.1
257,양산시,2012/08/12 16:00,29.2,75,1002.9
257,양산시,2012/08/12 17:00,27.9,82,1002.9
257,양산시,2012/08/12 18:00,27.6,83,1003.5
257,양산시,2012/08/12 19:00,26.3,82,1003.8
257,양산시,2012/08/12 20:00,26.1,83,1004
257,양산시,2012/08/12 21:00,26,82,1004.4
257,양산시,2012/08/12 22:00,25.9,84,1004.4
257,양산시,2012/08/12 23:00,26,83,1003.8
257,양산시,2012/08/13 0:00,26.1,83,1003
257,양산시,2012/08/13 1:00,27.2,78,1002.9
257,양산시,2012/08/13 2:00,27.7,74,1002.5
257,양산시,2012/08/13 3:00,27.5,77,1002.3
257,양산시,2012/08/13 4:00,27.9,77,1001.8
257,양산시,2012/08/13 5:00,26.8,85,1001.8
257,양산시,2012/08/13 6:00,26,87,1002
257,양산시,2012/08/13 7:00,26.1,86,1002.4
257,양산시,2012/08/13 8:00,26.8,83,1002.4
257,양산시,2012/08/13 9:00,27.4,78,1002.8
257,양산시,2012/08/13 10:00,27.8,79,1003
257,양산시,2012/08/13 11:00,27.1,82,1003.6
257,양산시,2012/08/13 12:00,27,83,1003.3
257,양산시,2012/08/13 13:00,27.2,83,1002.9
257,양산시,2012/08/13 14:00,27.6,84,1001.9
257,양산시,2012/08/13 15:00,27.6,83,1002
257,양산시,2012/08/13 16:00,28.3,78,1002.7
257,양산시,2012/08/13 17:00,28.5,75,1002.8
257,양산시,2012/08/13 18:00,28.7,75,1003.3
257,양산시,2012/08/13 19:00,27.6,78,1003.5
257,양산시,2012/08/13 20:00,26.8,79,1004.4
257,양산시,2012/08/13 21:00,25.6,76,1005.7
257,양산시,2012/08/13 22:00,25.5,75,1005.9
257,양산시,2012/08/13 23:00,25.6,74,1006.3
257,양산시,2012/08/14 0:00,24.2,83,1006.6
257,양산시,2012/08/14 1:00,24.5,80,1006.7
257,양산시,2012/08/14 2:00,24.7,80,1006.7
257,양산시,2012/08/14 3:00,24.7,79,1006.6
257,양산시,2012/08/14 4:00,25.1,76,1007
257,양산시,2012/08/14 5:00,24.6,80,1007.1
257,양산시,2012/08/14 6:00,24.5,80,1008
257,양산시,2012/08/14 7:00,23.9,83,1008.5
257,양산시,2012/08/14 8:00,24.2,80,1009.3
257,양산시,2012/08/14 9:00,24.6,78,1009.4
257,양산시,2012/08/14 10:00,25,76,1009.8
257,양산시,2012/08/14 11:00,25.5,74,1009.6
257,양산시,2012/08/14 12:00,26.1,72,1009.3
257,양산시,2012/08/14 13:00,26.6,72,1009.3
257,양산시,2012/08/14 14:00,27.6,67,1008.9
257,양산시,2012/08/14 15:00,28.1,69,1008.4
257,양산시,2012/08/14 16:00,27.6,69,1008.4
257,양산시,2012/08/14 17:00,27.2,72,1008.6
257,양산시,2012/08/14 18:00,26.2,78,1008.7
257,양산시,2012/08/14 19:00,26,78,1008.7
257,양산시,2012/08/14 20:00,26.2,79,1009.3
257,양산시,2012/08/14 21:00,25,85,1010.2
257,양산시,2012/08/14 22:00,24.9,86,1010
257,양산시,2012/08/14 23:00,25.2,85,1010.1
257,양산시,2012/08/15 0:00,25.2,85,1009.3
257,양산시,2012/08/15 1:00,25.2,86,1009
257,양산시,2012/08/15 2:00,25.5,87,1009
257,양산시,2012/08/15 3:00,25.6,88,1008.6
257,양산시,2012/08/15 4:00,25.5,89,1008.1
257,양산시,2012/08/15 5:00,25.8,88,1007.7
257,양산시,2012/08/15 6:00,25.8,87,1007.8
257,양산시,2012/08/15 7:00,26.6,87,1007.6
257,양산시,2012/08/15 8:00,27.8,84,1007.5
257,양산시,2012/08/15 9:00,28.8,80,1007.6
257,양산시,2012/08/15 10:00,29.1,78,1007.6
257,양산시,2012/08/15 11:00,30.3,73,1007.3
257,양산시,2012/08/15 12:00,29.4,72,1007.3
257,양산시,2012/08/15 13:00,27.8,83,1007.6
257,양산시,2012/08/15 14:00,28,84,1007.1
257,양산시,2012/08/15 15:00,30.1,73,1006.9
257,양산시,2012/08/15 16:00,29.5,74,1006.9
257,양산시,2012/08/15 17:00,29.4,72,1007
257,양산시,2012/08/15 18:00,29.4,70,1006.8
257,양산시,2012/08/15 19:00,29,73,1006.4
257,양산시,2012/08/15 20:00,28.1,83,1007.6
257,양산시,2012/08/15 21:00,28,80,1008.5
257,양산시,2012/08/15 22:00,27.9,82,1008.7
257,양산시,2012/08/15 23:00,27.9,81,1008.8
257,양산시,2012/08/16 0:00,28.1,81,1008.9
257,양산시,2012/08/16 1:00,28,82,1008.9
257,양산시,2012/08/16 2:00,27.8,77,1008.8
257,양산시,2012/08/16 3:00,27.7,80,1008.8
257,양산시,2012/08/16 4:00,27.3,83,1009.4
257,양산시,2012/08/16 5:00,27.4,83,1009.1
257,양산시,2012/08/16 6:00,27.6,81,1009.7
257,양산시,2012/08/16 7:00,27.4,83,1010
257,양산시,2012/08/16 8:00,28.8,76,1010.2
257,양산시,2012/08/16 9:00,29.6,73,1010.2
257,양산시,2012/08/16 10:00,29.2,76,1011.2
257,양산시,2012/08/16 11:00,30.6,69,1010.9
257,양산시,2012/08/16 12:00,30.4,67,1010.5
257,양산시,2012/08/16 13:00,31.7,63,1010
257,양산시,2012/08/16 14:00,32.3,61,1009.6
257,양산시,2012/08/16 15:00,31.8,65,1009.8
257,양산시,2012/08/16 16:00,31.2,65,1009.9
257,양산시,2012/08/16 17:00,30.8,68,1010.1
257,양산시,2012/08/16 18:00,30.4,69,1009.6
257,양산시,2012/08/16 19:00,29.5,72,1010.5
257,양산시,2012/08/16 20:00,28.3,74,1011.2
257,양산시,2012/08/16 21:00,27.3,78,1012.1
257,양산시,2012/08/16 22:00,26.6,81,1012.5
257,양산시,2012/08/16 23:00,26.6,81,1012.6
257,양산시,2012/08/17 0:00,25.8,84,1012.7
257,양산시,2012/08/17 1:00,25.7,87,1012.5
257,양산시,2012/08/17 2:00,25.7,87,1012.4
257,양산시,2012/08/17 3:00,25.3,86,1012.1
257,양산시,2012/08/17 4:00,25.4,87,1012.1
257,양산시,2012/08/17 5:00,25.3,87,1012.5
257,양산시,2012/08/17 6:00,25,87,1012.7
257,양산시,2012/08/17 7:00,25.7,85,1013.2
257,양산시,2012/08/17 8:00,26.6,80,1013.2
257,양산시,2012/08/17 9:00,28.3,72,1013.2
257,양산시,2012/08/17 10:00,29.9,66,1013.3
257,양산시,2012/08/17 11:00,31.3,64,1012.9
257,양산시,2012/08/17 12:00,32.1,59,1012.7
257,양산시,2012/08/17 13:00,31.2,68,1012.4
257,양산시,2012/08/17 14:00,31.9,59,1012
257,양산시,2012/08/17 15:00,32.4,59,1011.5
257,양산시,2012/08/17 16:00,32,61,1011.5
257,양산시,2012/08/17 17:00,31.5,62,1011
257,양산시,2012/08/17 18:00,30.6,65,1011.1
257,양산시,2012/08/17 19:00,29.3,71,1011.5
257,양산시,2012/08/17 20:00,28.1,77,1011.7
257,양산시,2012/08/17 21:00,27.5,76,1012.1
257,양산시,2012/08/17 22:00,27.2,77,1012.3
257,양산시,2012/08/17 23:00,27.4,77,1012.5
257,양산시,2012/08/18 0:00,27.1,79,1012.4
257,양산시,2012/08/18 1:00,26.8,81,1012.4
257,양산시,2012/08/18 2:00,26.5,81,1012.5
257,양산시,2012/08/18 3:00,26.3,82,1012.4
257,양산시,2012/08/18 4:00,25.9,84,1012.1
257,양산시,2012/08/18 5:00,25.7,84,1012.1
257,양산시,2012/08/18 6:00,25.7,85,1012.1
257,양산시,2012/08/18 7:00,26.4,83,1012.3
257,양산시,2012/08/18 8:00,28.2,76,1012.4
257,양산시,2012/08/18 9:00,28.7,74,1012.7
257,양산시,2012/08/18 10:00,29.6,69,1012.2
257,양산시,2012/08/18 11:00,30.9,66,1011.6
257,양산시,2012/08/18 12:00,32.3,60,1011
257,양산시,2012/08/18 13:00,32.5,59,1010.4
257,양산시,2012/08/18 14:00,33,56,1009.9
257,양산시,2012/08/18 15:00,32.8,57,1009.6
257,양산시,2012/08/18 16:00,31.5,63,1009.2
257,양산시,2012/08/18 17:00,29.8,72,1009.2
257,양산시,2012/08/18 18:00,29.4,75,1009.5
257,양산시,2012/08/18 19:00,29.4,71,1010
257,양산시,2012/08/18 20:00,29.1,69,1010.5
257,양산시,2012/08/18 21:00,28.7,71,1010.8
257,양산시,2012/08/18 22:00,28.2,73,1010.7
257,양산시,2012/08/18 23:00,27.7,76,1010.4
257,양산시,2012/08/19 0:00,27.4,79,1010.3
257,양산시,2012/08/19 1:00,26.8,82,1010.4
257,양산시,2012/08/19 2:00,26.7,83,1010.3
257,양산시,2012/08/19 3:00,27.4,83,1010.2
257,양산시,2012/08/19 4:00,26.5,84,1009.9
257,양산시,2012/08/19 5:00,26.4,86,1010.1
257,양산시,2012/08/19 6:00,26.2,85,1010.2
257,양산시,2012/08/19 7:00,26.4,83,1010.5
257,양산시,2012/08/19 8:00,27.3,81,1010.9
257,양산시,2012/08/19 9:00,29.9,70,1011.1
257,양산시,2012/08/19 10:00,30.6,64,1010.6
257,양산시,2012/08/19 11:00,31.3,61,1010.3
257,양산시,2012/08/19 12:00,31.6,59,1009.5
257,양산시,2012/08/19 13:00,31.8,57,1009.2
257,양산시,2012/08/19 14:00,32.1,54,1009
257,양산시,2012/08/19 15:00,31.9,60,1008.5
257,양산시,2012/08/19 16:00,31.9,59,1008.1
257,양산시,2012/08/19 17:00,30.5,67,1008.3
257,양산시,2012/08/19 18:00,29.9,70,1008.2
257,양산시,2012/08/19 19:00,29,73,1008.4
257,양산시,2012/08/19 20:00,28.5,74,1008.6
257,양산시,2012/08/19 21:00,28.1,81,1009
257,양산시,2012/08/19 22:00,28.2,80,1009.2
257,양산시,2012/08/19 23:00,27.7,82,1009.4
257,양산시,2012/08/20 0:00,27.6,83,1009.5
257,양산시,2012/08/20 1:00,27.3,83,1009.1
257,양산시,2012/08/20 2:00,26.9,82,1008.8
257,양산시,2012/08/20 3:00,26.6,84,1008.8
257,양산시,2012/08/20 4:00,26.4,85,1008.8
257,양산시,2012/08/20 5:00,26.5,84,1009
257,양산시,2012/08/20 6:00,26.9,84,1009.1
257,양산시,2012/08/20 7:00,26,79,1009.8
257,양산시,2012/08/20 8:00,27.4,73,1009.9
257,양산시,2012/08/20 9:00,27.9,72,1009.9
257,양산시,2012/08/20 10:00,29.4,68,1009.8
257,양산시,2012/08/20 11:00,29.6,65,1009.4
257,양산시,2012/08/20 12:00,29.9,65,1009.3
257,양산시,2012/08/20 13:00,31,63,1009
257,양산시,2012/08/20 14:00,29.9,65,1008.9
257,양산시,2012/08/20 15:00,30.1,66,1008.7
257,양산시,2012/08/20 16:00,29.7,67,1008.8
257,양산시,2012/08/20 17:00,29.4,69,1008.7
257,양산시,2012/08/20 18:00,28.9,72,1009.1
257,양산시,2012/08/20 19:00,28.2,76,1009.3
257,양산시,2012/08/20 20:00,27.9,79,1009.6
257,양산시,2012/08/20 21:00,27.5,80,1009.9
257,양산시,2012/08/20 22:00,26.9,78,1010.1
257,양산시,2012/08/20 23:00,26.6,78,1010.2
257,양산시,2012/08/21 0:00,26.3,80,1010.6
257,양산시,2012/08/21 1:00,25.9,84,1010.5
257,양산시,2012/08/21 2:00,26.1,84,1010.3
257,양산시,2012/08/21 3:00,25.8,85,1010.3
257,양산시,2012/08/21 4:00,25.7,84,1010.2
257,양산시,2012/08/21 5:00,25.5,86,1010.1
257,양산시,2012/08/21 6:00,25.1,84,1010.6
257,양산시,2012/08/21 7:00,26.1,82,1011.1
257,양산시,2012/08/21 8:00,27.7,77,1011.2
257,양산시,2012/08/21 9:00,28.7,70,1011.2
257,양산시,2012/08/21 10:00,29.3,67,1011.1
257,양산시,2012/08/21 11:00,29.1,73,1011.4
257,양산시,2012/08/21 12:00,30.8,63,1010.7
257,양산시,2012/08/21 13:00,32.1,53,1010.3
257,양산시,2012/08/21 14:00,31.3,58,1010.3
257,양산시,2012/08/21 15:00,31.7,53,1009.9
257,양산시,2012/08/21 16:00,31.9,54,1009.3
257,양산시,2012/08/21 17:00,30.9,58,1009.3
257,양산시,2012/08/21 18:00,29.7,60,1009.5
257,양산시,2012/08/21 19:00,28.3,68,1010
257,양산시,2012/08/21 20:00,27.8,72,1010.1
257,양산시,2012/08/21 21:00,27.5,73,1010.5
257,양산시,2012/08/21 22:00,27.4,75,1010.5
257,양산시,2012/08/21 23:00,27.3,78,1010.4
257,양산시,2012/08/22 0:00,27.4,76,1010.3
